price,quantity,order_type,timestamp,value
0.8806,8.0,ASK,2025-04-23 23:19:25.118841,7.0448
0.8809,55.0,ASK,2025-04-23 23:19:25.118841,48.4495
0.881,11.0,ASK,2025-04-23 23:19:25.118841,9.691
0.8811,60.0,ASK,2025-04-23 23:19:25.118841,52.866
0.8814,129.0,ASK,2025-04-23 23:19:25.118841,113.7006
0.8816,6.0,ASK,2025-04-23 23:19:25.118841,5.2896
0.8817,977.0,ASK,2025-04-23 23:19:25.118841,861.4209000000001
0.8819,28.0,ASK,2025-04-23 23:19:25.118841,24.6932
0.882,2887.0,ASK,2025-04-23 23:19:25.118841,2546.334
0.8821,47.0,ASK,2025-04-23 23:19:25.118841,41.4587
0.8822,11.0,ASK,2025-04-23 23:19:25.118841,9.7042
0.8825,17.0,ASK,2025-04-23 23:19:25.118841,15.0025
0.8827,65.0,ASK,2025-04-23 23:19:25.118841,57.3755
0.8828,3393.0,ASK,2025-04-23 23:19:25.118841,2995.3404
0.883,1305.0,ASK,2025-04-23 23:19:25.118841,1152.315
0.8831,82.0,ASK,2025-04-23 23:19:25.118841,72.4142
0.8833,20.0,ASK,2025-04-23 23:19:25.118841,17.666
0.8834,26.0,ASK,2025-04-23 23:19:25.118841,22.9684
0.8838,17.0,ASK,2025-04-23 23:19:25.118841,15.024600000000001
0.8839,104.0,ASK,2025-04-23 23:19:25.118841,91.9256
0.8842,120.0,ASK,2025-04-23 23:19:25.118841,106.104
0.8843,12.0,ASK,2025-04-23 23:19:25.118841,10.6116
0.8844,1139.0,ASK,2025-04-23 23:19:25.118841,1007.3316
0.8846,13.0,ASK,2025-04-23 23:19:25.118841,11.4998
0.8847,34.0,ASK,2025-04-23 23:19:25.118841,30.079800000000002
0.8848,2143.0,ASK,2025-04-23 23:19:25.118841,1896.1264
0.8849,236.0,ASK,2025-04-23 23:19:25.118841,208.8364
0.885,11.0,ASK,2025-04-23 23:19:25.118841,9.735
0.8852,130.0,ASK,2025-04-23 23:19:25.118841,115.076
0.8853,127.0,ASK,2025-04-23 23:19:25.118841,112.4331
0.8857,814.0,ASK,2025-04-23 23:19:25.118841,720.9598000000001
0.886,5106.0,ASK,2025-04-23 23:19:25.118841,4523.916
0.8861,6.0,ASK,2025-04-23 23:19:25.118841,5.3166
0.8863,12.0,ASK,2025-04-23 23:19:25.118841,10.6356
0.8865,62.0,ASK,2025-04-23 23:19:25.118841,54.962999999999994
0.8866,14.0,ASK,2025-04-23 23:19:25.118841,12.412400000000002
0.8867,10.0,ASK,2025-04-23 23:19:25.118841,8.867
0.8868,16.0,ASK,2025-04-23 23:19:25.118841,14.1888
0.8869,6.0,ASK,2025-04-23 23:19:25.118841,5.321400000000001
0.887,1312.0,ASK,2025-04-23 23:19:25.118841,1163.744
0.8871,7.0,ASK,2025-04-23 23:19:25.118841,6.2097
0.8872,4832.0,ASK,2025-04-23 23:19:25.118841,4286.9504
0.8875,21.0,ASK,2025-04-23 23:19:25.118841,18.6375
0.8876,8.0,ASK,2025-04-23 23:19:25.118841,7.1008
0.8881,8.0,ASK,2025-04-23 23:19:25.118841,7.1048
0.8883,9.0,ASK,2025-04-23 23:19:25.118841,7.9947
0.8884,4.0,ASK,2025-04-23 23:19:25.118841,3.5536
0.8885,64.0,ASK,2025-04-23 23:19:25.118841,56.864
0.8886,6.0,ASK,2025-04-23 23:19:25.118841,5.3316
0.8887,12.0,ASK,2025-04-23 23:19:25.118841,10.6644
0.8888,353.0,ASK,2025-04-23 23:19:25.118841,313.7464
0.8889,40.0,ASK,2025-04-23 23:19:25.118841,35.556
0.889,2420.0,ASK,2025-04-23 23:19:25.118841,2151.38
0.8891,27.0,ASK,2025-04-23 23:19:25.118841,24.0057
0.8892,108.0,ASK,2025-04-23 23:19:25.118841,96.03359999999999
0.8893,4945.0,ASK,2025-04-23 23:19:25.118841,4397.5885
0.8894,15291.0,ASK,2025-04-23 23:19:25.118841,13599.8154
0.8895,15.0,ASK,2025-04-23 23:19:25.118841,13.3425
0.8896,1246.0,ASK,2025-04-23 23:19:25.118841,1108.4415999999999
0.8898,3494.0,ASK,2025-04-23 23:19:25.118841,3108.9612
0.8899,10.0,ASK,2025-04-23 23:19:25.118841,8.899000000000001
0.89,6536.0,ASK,2025-04-23 23:19:25.118841,5817.04
0.8901,1152.0,ASK,2025-04-23 23:19:25.118841,1025.3952
0.8902,124.0,ASK,2025-04-23 23:19:25.118841,110.3848
0.8905,6.0,ASK,2025-04-23 23:19:25.118841,5.343
0.8906,16.0,ASK,2025-04-23 23:19:25.118841,14.2496
0.8907,65.0,ASK,2025-04-23 23:19:25.118841,57.895500000000006
0.8909,65.0,ASK,2025-04-23 23:19:25.118841,57.908500000000004
0.891,90.0,ASK,2025-04-23 23:19:25.118841,80.19
0.8913,57.0,ASK,2025-04-23 23:19:25.118841,50.8041
0.8916,643.0,ASK,2025-04-23 23:19:25.118841,573.2987999999999
0.8919,60.0,ASK,2025-04-23 23:19:25.118841,53.514
0.892,30.0,ASK,2025-04-23 23:19:25.118841,26.76
0.8921,7.0,ASK,2025-04-23 23:19:25.118841,6.2447
0.8923,65.0,ASK,2025-04-23 23:19:25.118841,57.9995
0.8925,19.0,ASK,2025-04-23 23:19:25.118841,16.9575
0.8927,2078.0,ASK,2025-04-23 23:19:25.118841,1855.0306
0.8929,28.0,ASK,2025-04-23 23:19:25.118841,25.0012
0.893,16.0,ASK,2025-04-23 23:19:25.118841,14.288
0.8931,171.0,ASK,2025-04-23 23:19:25.118841,152.7201
0.8933,4580.0,ASK,2025-04-23 23:19:25.118841,4091.314
0.8936,9.0,ASK,2025-04-23 23:19:25.118841,8.042399999999999
0.8938,8.0,ASK,2025-04-23 23:19:25.118841,7.1504
0.8943,574.0,ASK,2025-04-23 23:19:25.118841,513.3282
0.8944,12.0,ASK,2025-04-23 23:19:25.118841,10.7328
0.8945,6.0,ASK,2025-04-23 23:19:25.118841,5.367
0.8947,1303.0,ASK,2025-04-23 23:19:25.118841,1165.7941
0.8948,31.0,ASK,2025-04-23 23:19:25.118841,27.7388
0.8949,89.0,ASK,2025-04-23 23:19:25.118841,79.6461
0.895,30.0,ASK,2025-04-23 23:19:25.118841,26.85
0.8952,12.0,ASK,2025-04-23 23:19:25.118841,10.7424
0.8953,23.0,ASK,2025-04-23 23:19:25.118841,20.5919
0.8954,4.0,ASK,2025-04-23 23:19:25.118841,3.5816
0.8955,5.0,ASK,2025-04-23 23:19:25.118841,4.4775
0.8956,6.0,ASK,2025-04-23 23:19:25.118841,5.3736
0.8957,11.0,ASK,2025-04-23 23:19:25.118841,9.8527
0.8958,1213.0,ASK,2025-04-23 23:19:25.118841,1086.6054000000001
0.896,2346.0,ASK,2025-04-23 23:19:25.118841,2102.016
0.8961,105.0,ASK,2025-04-23 23:19:25.118841,94.0905
0.8962,5.0,ASK,2025-04-23 23:19:25.118841,4.481
0.8963,15249.0,ASK,2025-04-23 23:19:25.118841,13667.6787
0.8964,7.0,ASK,2025-04-23 23:19:25.118841,6.2748
0.8966,3472.0,ASK,2025-04-23 23:19:25.118841,3112.9952
0.8967,32.0,ASK,2025-04-23 23:19:25.118841,28.6944
0.8968,3488.0,ASK,2025-04-23 23:19:25.118841,3128.0384000000004
0.8969,1.0,ASK,2025-04-23 23:19:25.118841,0.8969
0.897,154.0,ASK,2025-04-23 23:19:25.118841,138.138
0.8971,13.0,ASK,2025-04-23 23:19:25.118841,11.6623
0.8972,1158.0,ASK,2025-04-23 23:19:25.118841,1038.9576
0.8975,9.0,ASK,2025-04-23 23:19:25.118841,8.0775
0.8976,9.0,ASK,2025-04-23 23:19:25.118841,8.0784
0.8977,11.0,ASK,2025-04-23 23:19:25.118841,9.8747
0.8978,88.0,ASK,2025-04-23 23:19:25.118841,79.0064
0.8979,824.0,ASK,2025-04-23 23:19:25.118841,739.8696
0.898,232.0,ASK,2025-04-23 23:19:25.118841,208.336
0.8981,1447.0,ASK,2025-04-23 23:19:25.118841,1299.5507
0.8982,10.0,ASK,2025-04-23 23:19:25.118841,8.982
0.8983,4960.0,ASK,2025-04-23 23:19:25.118841,4455.568
0.8984,6281.0,ASK,2025-04-23 23:19:25.118841,5642.8504
0.8985,6.0,ASK,2025-04-23 23:19:25.118841,5.391
0.8987,6.0,ASK,2025-04-23 23:19:25.118841,5.392200000000001
0.8988,65.0,ASK,2025-04-23 23:19:25.118841,58.422000000000004
0.8989,6.0,ASK,2025-04-23 23:19:25.118841,5.3934
0.899,6045.0,ASK,2025-04-23 23:19:25.118841,5434.455
0.8991,3582.0,ASK,2025-04-23 23:19:25.118841,3220.5762
0.8992,30.0,ASK,2025-04-23 23:19:25.118841,26.976
0.8993,52.0,ASK,2025-04-23 23:19:25.118841,46.7636
0.8994,59.0,ASK,2025-04-23 23:19:25.118841,53.0646
0.8995,33.0,ASK,2025-04-23 23:19:25.118841,29.6835
0.8996,18.0,ASK,2025-04-23 23:19:25.118841,16.1928
0.8998,12.0,ASK,2025-04-23 23:19:25.118841,10.797600000000001
0.8999,5021.0,ASK,2025-04-23 23:19:25.118841,4518.3979
0.9,16214.0,ASK,2025-04-23 23:19:25.118841,14592.6
0.9001,1571.0,ASK,2025-04-23 23:19:25.118841,1414.0571
0.9003,13.0,ASK,2025-04-23 23:19:25.118841,11.703899999999999
0.9004,14.0,ASK,2025-04-23 23:19:25.118841,12.605599999999999
0.9005,18.0,ASK,2025-04-23 23:19:25.118841,16.209
0.9006,7.0,ASK,2025-04-23 23:19:25.118841,6.3042
0.9009,1675.0,ASK,2025-04-23 23:19:25.118841,1509.0075000000002
0.901,653.0,ASK,2025-04-23 23:19:25.118841,588.3530000000001
0.9011,10.0,ASK,2025-04-23 23:19:25.118841,9.011
0.9012,20.0,ASK,2025-04-23 23:19:25.118841,18.024
0.9013,34.0,ASK,2025-04-23 23:19:25.118841,30.644199999999998
0.9014,18.0,ASK,2025-04-23 23:19:25.118841,16.2252
0.9015,1158.0,ASK,2025-04-23 23:19:25.118841,1043.937
0.9016,7.0,ASK,2025-04-23 23:19:25.118841,6.3111999999999995
0.9018,28.0,ASK,2025-04-23 23:19:25.118841,25.250400000000003
0.902,49.0,ASK,2025-04-23 23:19:25.118841,44.198
0.9021,72.0,ASK,2025-04-23 23:19:25.118841,64.9512
0.9024,64.0,ASK,2025-04-23 23:19:25.118841,57.7536
0.9026,9.0,ASK,2025-04-23 23:19:25.118841,8.1234
0.9027,698.0,ASK,2025-04-23 23:19:25.118841,630.0845999999999
0.9028,1158.0,ASK,2025-04-23 23:19:25.118841,1045.4424000000001
0.9029,45.0,ASK,2025-04-23 23:19:25.118841,40.630500000000005
0.903,2317.0,ASK,2025-04-23 23:19:25.118841,2092.251
0.9032,18.0,ASK,2025-04-23 23:19:25.118841,16.2576
0.9033,44.0,ASK,2025-04-23 23:19:25.118841,39.7452
0.9037,60.0,ASK,2025-04-23 23:19:25.118841,54.221999999999994
0.9038,3480.0,ASK,2025-04-23 23:19:25.118841,3145.224
0.904,22.0,ASK,2025-04-23 23:19:25.118841,19.888
0.9042,19.0,ASK,2025-04-23 23:19:25.118841,17.1798
0.9043,11.0,ASK,2025-04-23 23:19:25.118841,9.9473
0.9045,258.0,ASK,2025-04-23 23:19:25.118841,233.361
0.9046,6.0,ASK,2025-04-23 23:19:25.118841,5.4276
0.905,139.0,ASK,2025-04-23 23:19:25.118841,125.795
0.9052,12.0,ASK,2025-04-23 23:19:25.118841,10.862400000000001
0.9055,27.0,ASK,2025-04-23 23:19:25.118841,24.4485
0.9059,66.0,ASK,2025-04-23 23:19:25.118841,59.7894
0.906,21.0,ASK,2025-04-23 23:19:25.118841,19.026
0.9061,31.0,ASK,2025-04-23 23:19:25.118841,28.089100000000002
0.9063,59.0,ASK,2025-04-23 23:19:25.118841,53.4717
0.9064,35.0,ASK,2025-04-23 23:19:25.118841,31.724
0.9067,1432.0,ASK,2025-04-23 23:19:25.118841,1298.3944
0.9068,1338.0,ASK,2025-04-23 23:19:25.118841,1213.2984000000001
0.9069,368.0,ASK,2025-04-23 23:19:25.118841,333.73920000000004
0.9071,71.0,ASK,2025-04-23 23:19:25.118841,64.4041
0.9072,1152.0,ASK,2025-04-23 23:19:25.118841,1045.0944
0.9073,231.0,ASK,2025-04-23 23:19:25.118841,209.5863
0.9074,14.0,ASK,2025-04-23 23:19:25.118841,12.7036
0.9077,6226.0,ASK,2025-04-23 23:19:25.118841,5651.3402
0.9078,12.0,ASK,2025-04-23 23:19:25.118841,10.893600000000001
0.908,15.0,ASK,2025-04-23 23:19:25.118841,13.620000000000001
0.9082,7.0,ASK,2025-04-23 23:19:25.118841,6.3574
0.9083,11.0,ASK,2025-04-23 23:19:25.118841,9.9913
0.9084,1406.0,ASK,2025-04-23 23:19:25.118841,1277.2104
0.9085,58.0,ASK,2025-04-23 23:19:25.118841,52.693
0.9086,31.0,ASK,2025-04-23 23:19:25.118841,28.1666
